feature,type,count,mean,std,min,25%,median,75%,max,skewness,kurtosis,num_missing,num_unique,normalization,value_counts
node_type,numeric,14617560,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,10000,,
x,numeric,14617560,8944.463176253974,5522.112292175632,0.0,4000.0,8946.06,14000.0,18000.0,0.039267103384039666,-1.2552387662827413,0,10000,,
y,numeric,14617560,405.8405524746484,3351.5359871411497,-6264.96,-2264.96,1000.0,3000.0,5000.0,-0.4752047459976911,-0.9823934902082256,0,10000,,
id,categorical,14617560,,,,,,,,,,0,362,,
type,categorical,14617560,,,,,,,,,,0,2,,"{'traffic_light': 6945360, 'priority': 7672200}"
zone,categorical,14617560,,,,,,,,,,0,4,,"{'C': 4926360, 'B': 4764840, 'A': 4885980, 'H': 40380}"
